forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
996366,2021-04-12,TRUE,yes,normal,0.932,0.02,1,2021-03-27,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.881,0.03,2,2021-04-03,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.859,0.06,3,2021-04-10,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.859,0.08,4,2021-04-17,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.859,0.08,5,2021-04-24,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.859,0.08,6,2021-05-01,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,0.859,0.09,7,2021-05-08,2021-04-12,Bulgaria,,,15
996366,2021-04-12,TRUE,yes,normal,1.068,0.01,1,2021-03-27,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,1.16,0.02,2,2021-04-03,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,1.17,0.03,3,2021-04-10,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,1.15,0.04,4,2021-04-17,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,1.02,0.05,5,2021-04-24,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,1.02,0.06,6,2021-05-01,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,0.96,0.07,7,2021-05-08,2021-04-12,Germany,,8.38413575490316,15
996366,2021-04-12,TRUE,yes,normal,0.888,0.02,1,2021-03-27,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.81,0.04,2,2021-04-03,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.89,0.06,3,2021-04-10,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.95,0.07,4,2021-04-17,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.96,0.08,5,2021-04-24,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.96,0.09,6,2021-05-01,2021-04-12,Poland,,3.05090669790904,15
996366,2021-04-12,TRUE,yes,normal,0.96,0.1,7,2021-05-08,2021-04-12,Poland,,3.05090669790904,15
