forecaster_id,forecast_date,expert,leaderboard,board_name,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.281,0.01,1,2022-06-04,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.239,0.02,2,2022-06-11,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.231,0.03,3,2022-06-18,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.231,0.04,4,2022-06-25,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.231,0.05,5,2022-07-02,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.231,0.06,6,2022-07-09,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,fifth-power-normal,0.231,0.07,7,2022-07-16,2022-06-20,Spain,,,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.944,0.01,1,2022-06-04,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.946,0.02,2,2022-06-11,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.951,0.03,3,2022-06-18,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.951,0.04,4,2022-06-25,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.951,0.05,5,2022-07-02,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.951,0.06,6,2022-07-09,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,seventh-power-normal,0.951,0.07,7,2022-07-16,2022-06-20,Sweden,,2.27479320367177,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.281,0.01,1,2022-06-04,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.239,0.02,2,2022-06-11,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.231,0.03,3,2022-06-18,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.231,0.04,4,2022-06-25,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.231,0.05,5,2022-07-02,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.231,0.06,6,2022-07-09,2022-06-20,Spain,,1.65150648752848,25
902748,2022-06-25,FALSE,yes,mocarc19,cubic-normal,0.231,0.07,7,2022-07-16,2022-06-20,Spain,,1.65150648752848,25
