region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Austria,2021-09-11,,estimate,-0.0166268285860762,-0.0165885912073558,0.0128585905515642,-0.0372027103569789,-0.0252591127458608,-0.0198954671935529,-0.0137868749986573,-0.00841964411207903,0.00465520580950125
Austria,2021-09-12,,estimate,-0.0165292345440786,-0.0163910690927385,0.0111573799369442,-0.0345163010710336,-0.0239922772463062,-0.0191541013683907,-0.0138169740194959,-0.0092720629979733,0.00234556514118269
Austria,2021-09-13,,estimate,-0.0162807656521394,-0.0160738258767199,0.0097435841324729,-0.0318493276679268,-0.0226927994515287,-0.0185610691586163,-0.0139133444609702,-0.00963840610799751,-0.000140996178491664
Austria,2021-09-14,,estimate,-0.0158754660051117,-0.0156322134972748,0.00859919691418582,-0.0296789037781955,-0.0212285687195633,-0.0178569901784203,-0.0137568665966338,-0.00966298514563547,-0.00163709908531814
Austria,2021-09-15,,estimate,-0.0151954572143662,-0.0150646796657908,0.00769321354532283,-0.0275481979601261,-0.0200551676221735,-0.0170107059398067,-0.0133589172091453,-0.00998123873355058,-0.00259425242802113
Austria,2021-09-16,,estimate,-0.0144729314387171,-0.0143728584835267,0.00698867076574245,-0.0256259945484261,-0.0188979443990534,-0.0161152946776856,-0.0128119572485708,-0.00979167565412249,-0.00266010555016049
Austria,2021-09-17,,estimate,-0.0136985157073275,-0.0135613685876771,0.00645044426974471,-0.0238668648807103,-0.0177976237090693,-0.0151617739397019,-0.0122017502252494,-0.0093916562838377,-0.00258922060025751
Austria,2021-09-18,,estimate,-0.0127090617511044,-0.0126372885405898,0.00604955855428696,-0.0221776803052216,-0.0167038650859149,-0.0142060514146433,-0.0113932965561421,-0.00881963676399966,-0.00226704296075908
Austria,2021-09-19,,estimate,-0.0117063972809534,-0.0116093111066178,0.00576200344506446,-0.0206035841910495,-0.0154637219160278,-0.0131702917830839,-0.0103879238653012,-0.00798098684337865,-0.00168368837901096
Austria,2021-09-20,,estimate,-0.0106097227030531,-0.0104866211067258,0.00556410539966571,-0.0191700466886047,-0.014161270014127,-0.0119949206770032,-0.00926796039724556,-0.00704920361381569,-0.00102328684839606
Austria,2021-09-21,,estimate,-0.00944118070557992,-0.00927759081526141,0.00542911743067668,-0.0177311432528647,-0.0130218361617805,-0.0107623614383419,-0.00816320542321288,-0.00586228436049458,4.22919879539349e-05
Austria,2021-09-22,,estimate,-0.00812406911799379,-0.00798843370811152,0.00532862830534753,-0.0160713451612945,-0.0115969107853532,-0.00946656787754619,-0.0068874452727478,-0.00462439797992071,0.000945625332199421
Austria,2021-09-23,,estimate,-0.00678007249866201,-0.00662199110908514,0.00523857948822789,-0.0147058882000756,-0.0100835304785807,-0.008107662207272,-0.00549318805775274,-0.00339105053640967,0.00203315843789442
Austria,2021-09-24,,estimate,-0.00529851535678183,-0.0051768368243611,0.0051464591073485,-0.013380051732203,-0.00851791513561244,-0.00656070821551117,-0.00412744794773623,-0.00205615697579241,0.00313803987879117
Austria,2021-09-25,,estimate,-0.00368940301066017,-0.00364686563366263,0.00505557580238361,-0.0117263516671399,-0.00694469427287052,-0.0049012779877172,-0.00257484793554099,-0.000489207500531842,0.00434430085220816
