Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,28229 (5749 -- 108852),Likely decreasing,0.65 (0.26 -- 1.3),-0.075 (-0.22 -- 0.053),-9.2 (13 -- -3.2)
Belgium,20452 (1566 -- 96461),Likely decreasing,0.79 (0.3 -- 1.2),-0.043 (-0.2 -- 0.03),-16 (23 -- -3.4)
Bulgaria,6709 (2722 -- 17232),Likely decreasing,0.77 (0.48 -- 1.3),-0.046 (-0.13 -- 0.042),-15 (16 -- -5.5)
Croatia,4198 (1786 -- 9454),Likely decreasing,0.71 (0.43 -- 1.1),-0.062 (-0.14 -- 0.017),-11 (40 -- -4.9)
Cyprus,5507 (1305 -- 23591),Stable,0.92 (0.42 -- 1.8),-0.015 (-0.15 -- 0.11),-47 (6.2 -- -4.7)
Czechia,23752 (2513 -- 157991),Likely decreasing,0.67 (0.23 -- 1.4),-0.07 (-0.24 -- 0.063),-9.9 (11 -- -2.8)
Denmark,115646 (44612 -- 250654),Stable,1 (0.68 -- 1.3),-6.9e-05 (-0.07 -- 0.045),-10000 (16 -- -9.9)
Estonia,13476 (7598 -- 28770),Stable,1 (0.72 -- 1.7),0.00022 (-0.058 -- 0.095),3200 (7.3 -- -12)
Finland,10233 (2487 -- 41157),Likely decreasing,0.89 (0.5 -- 1.5),-0.021 (-0.12 -- 0.076),-33 (9.1 -- -5.8)
France,86969 (24194 -- 319114),Likely decreasing,0.62 (0.35 -- 1.1),-0.083 (-0.18 -- 0.013),-8.4 (53 -- -3.9)
Germany,409731 (138030 -- 1134250),Likely decreasing,0.92 (0.53 -- 1.5),-0.014 (-0.11 -- 0.077),-49 (9.1 -- -6.3)
Greece,28949 (9229 -- 80533),Likely decreasing,0.74 (0.29 -- 1.7),-0.054 (-0.2 -- 0.096),-13 (7.2 -- -3.4)
Hungary,7483 (1729 -- 31190),Likely decreasing,0.64 (0.3 -- 1.3),-0.078 (-0.2 -- 0.056),-8.9 (12 -- -3.4)
Iceland,7336 (2004 -- 29844),Likely increasing,1.1 (0.67 -- 2),0.021 (-0.072 -- 0.12),34 (5.7 -- -9.6)
Ireland,6035 (1170 -- 41267),Likely decreasing,0.83 (0.42 -- 1.7),-0.033 (-0.15 -- 0.1),-21 (6.7 -- -4.7)
Italy,85392 (47549 -- 160189),Likely decreasing,0.82 (0.56 -- 1.2),-0.035 (-0.099 -- 0.037),-20 (19 -- -7)
Latvia,22667 (11334 -- 46494),Stable,0.95 (0.65 -- 1.4),-0.0084 (-0.076 -- 0.06),-82 (12 -- -9.1)
Liechtenstein,320 (85 -- 791),Stable,1 (0.57 -- 1.3),-0.00065 (-0.098 -- 0.055),-1100 (13 -- -7.1)
Lithuania,8059 (4301 -- 15522),Likely decreasing,0.66 (0.45 -- 1),-0.072 (-0.14 -- 0.0088),-9.6 (79 -- -5)
Luxembourg,401 (180 -- 946),Decreasing,0.55 (0.34 -- 0.92),-0.1 (-0.18 -- -0.016),-6.7 (-44 -- -3.8)
Malta,86 (25 -- 254),Likely decreasing,0.61 (0.25 -- 1.3),-0.087 (-0.23 -- 0.049),-7.9 (14 -- -3.1)
Netherlands,81152 (20648 -- 261465),Likely decreasing,0.67 (0.32 -- 1.1),-0.071 (-0.19 -- 0.016),-9.8 (44 -- -3.6)
Norway,26722 (10704 -- 61792),Likely decreasing,0.8 (0.5 -- 1.2),-0.039 (-0.12 -- 0.033),-18 (21 -- -5.8)
Poland,33266 (15697 -- 67898),Likely decreasing,0.86 (0.49 -- 1.4),-0.027 (-0.12 -- 0.069),-26 (10 -- -5.7)
Portugal,17331 (7932 -- 44243),Likely decreasing,0.71 (0.42 -- 1.3),-0.06 (-0.15 -- 0.055),-12 (13 -- -4.7)
Romania,14576 (4193 -- 44759),Likely decreasing,0.6 (0.28 -- 1.2),-0.09 (-0.21 -- 0.034),-7.7 (21 -- -3.3)
Slovakia,35228 (13182 -- 90247),Likely decreasing,0.78 (0.44 -- 1.4),-0.044 (-0.14 -- 0.061),-16 (11 -- -4.9)
Slovenia,3141 (1489 -- 6856),Decreasing,0.53 (0.33 -- 0.87),-0.11 (-0.18 -- -0.025),-6.3 (-28 -- -3.8)
Spain,43500 (6645 -- 286429),Likely decreasing,0.73 (0.33 -- 1.4),-0.057 (-0.19 -- 0.067),-12 (10 -- -3.7)
Sweden,3014 (234 -- 24383),Decreasing,0.46 (0.16 -- 1),-0.13 (-0.3 -- -0.00069),-5.2 (-1000 -- -2.3)
Switzerland,39671 (10158 -- 124235),Likely decreasing,0.86 (0.51 -- 1.2),-0.028 (-0.12 -- 0.035),-25 (20 -- -5.9)
United Kingdom,47622 (15322 -- 167322),Likely decreasing,0.64 (0.33 -- 1.5),-0.077 (-0.19 -- 0.069),-9 (10 -- -3.7)
