region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Belgium,2023-09-28,,estimate,550,760.1,730.2,142.9,329,443.6,664,934.2,2049.5
Belgium,2023-09-29,,estimate,606,809,719.4,142.9,370,505,734,1023,2076.5
Belgium,2023-09-30,,estimate,713.5,909.7,792.6,194,440.8,595,844.4,1116,2287.2
Belgium,2023-10-01,,estimate,842,1044.7,801.4,208.9,562.8,727.6,992,1301,2558.1
Belgium,2023-10-02,,estimate,1005.5,1194.7,967.5,215,617.8,851.6,1152,1498.5,2766
Belgium,2023-10-03,,estimate,1232.5,1413,1006.6,292,765.8,1036.6,1420.4,1787,3176.2
Belgium,2023-10-04,,estimate,1536,1747.6,1266.7,371.5,927,1279.4,1804,2208,3886.5
Belgium,2023-10-05,,estimate,1728,1982.7,1388.4,379,1066.8,1472.6,2018,2520,4436
Belgium,2023-10-06,,estimate based on partial data,2105.5,2424,1756,475.9,1283.5,1732.4,2466,3142.8,5464.8
Belgium,2023-10-07,,estimate based on partial data,2409.5,2923.3,2711.4,517.9,1479.8,2075.6,2800.2,3537,6713.1
Belgium,2023-10-08,,estimate based on partial data,2664,3475.2,3633.9,520,1607,2236.6,3170,4240.2,8932.9
Belgium,2023-10-09,,forecast,3005.5,4276.9,4970.1,627.9,1801.8,2467.6,3672,5198.5,11437.5
Belgium,2023-10-10,,forecast,3312.5,4947.1,6975.8,715.1,1845.8,2688.6,4095,5663,13846.1
Belgium,2023-10-11,,forecast,3485,5522.6,6856.1,694,1852,2806.6,4584.6,6630.2,17126.9
Belgium,2023-10-12,,forecast,3590.5,5799.2,7386.9,602.9,1815.8,2829.4,4515.6,6977.5,18470.4
Belgium,2023-10-13,,forecast,3527,5722.8,7608,515.7,1712.8,2714.6,4637.6,7142.5,17213.7
Bulgaria,2023-09-28,,estimate,131,136.8,42.2,84,111,123,140,155,212
Bulgaria,2023-09-29,,estimate,142,147.9,44.4,89,122,134,151,168,224
Bulgaria,2023-09-30,,estimate,160,164.2,48.9,101.9,135,151,168,183,242
Bulgaria,2023-10-01,,estimate,187,190.8,54.3,118,160,177,196,214,270
Bulgaria,2023-10-02,,estimate,224,227.7,58.7,145,192,211,234,256,324
Bulgaria,2023-10-03,,estimate,275,281.5,72.4,181,238,261,289.4,318,402
Bulgaria,2023-10-04,,estimate,357,365.6,102.2,229.9,305,338.6,376,409,536
