region,date,confirm
Austria,2024-08-05,0
Austria,2024-08-06,1
Austria,2024-08-07,0
Austria,2024-08-08,3
Austria,2024-08-09,3
Austria,2024-08-10,2
Austria,2024-08-11,9
Austria,2024-08-12,8
Austria,2024-08-13,17
Austria,2024-08-14,12
Austria,2024-08-15,12
Austria,2024-08-16,15
Austria,2024-08-17,15
Belgium,2024-08-05,147
Belgium,2024-08-06,214
Belgium,2024-08-07,213
Belgium,2024-08-08,253
Belgium,2024-08-09,418
Belgium,2024-08-10,656
Belgium,2024-08-11,986
Belgium,2024-08-12,1115
Belgium,2024-08-13,1093
Belgium,2024-08-14,1548
Belgium,2024-08-15,1692
Belgium,2024-08-16,1393
Belgium,2024-08-17,1218
Bulgaria,2024-08-05,23
Bulgaria,2024-08-06,24
Bulgaria,2024-08-07,16
Bulgaria,2024-08-08,27
Bulgaria,2024-08-09,25
Bulgaria,2024-08-10,24
Bulgaria,2024-08-11,25
Bulgaria,2024-08-12,35
Bulgaria,2024-08-13,22
Bulgaria,2024-08-14,32
Bulgaria,2024-08-15,69
Bulgaria,2024-08-16,143
Bulgaria,2024-08-17,257
Czechia,2024-08-05,66
Czechia,2024-08-06,64
Czechia,2024-08-07,76
Czechia,2024-08-08,68
Czechia,2024-08-09,96
Czechia,2024-08-10,156
Czechia,2024-08-11,152
Czechia,2024-08-12,183
Czechia,2024-08-13,148
Czechia,2024-08-14,285
Czechia,2024-08-15,311
Czechia,2024-08-16,455
Czechia,2024-08-17,569
Denmark,2024-08-05,51
Denmark,2024-08-06,67
Denmark,2024-08-07,60
Denmark,2024-08-08,61
Denmark,2024-08-09,64
Denmark,2024-08-10,115
Denmark,2024-08-11,180
Greece,2024-08-05,545
Greece,2024-08-06,916
Greece,2024-08-07,1044
Greece,2024-08-08,1295
Greece,2024-08-09,1931
Greece,2024-08-10,2125
Greece,2024-08-11,3095
Greece,2024-08-12,3301
Greece,2024-08-13,4134
Greece,2024-08-14,4531
Greece,2024-08-15,5425
Greece,2024-08-16,6102
Greece,2024-08-17,5783
Hungary,2024-08-05,15
Hungary,2024-08-06,23
Hungary,2024-08-07,4
Hungary,2024-08-08,15
Hungary,2024-08-09,6
Hungary,2024-08-10,9
Hungary,2024-08-11,19
Hungary,2024-08-12,13
Hungary,2024-08-13,19
Hungary,2024-08-14,44
Hungary,2024-08-15,43
Hungary,2024-08-16,66
Iceland,2024-08-05,7
Iceland,2024-08-06,19
Iceland,2024-08-07,15
Iceland,2024-08-08,15
Iceland,2024-08-09,19
Iceland,2024-08-10,35
Iceland,2024-08-11,32
Iceland,2024-08-12,56
Iceland,2024-08-13,51
Iceland,2024-08-14,70
Iceland,2024-08-15,58
Iceland,2024-08-16,32
Ireland,2024-08-05,274
Ireland,2024-08-06,254
Ireland,2024-08-07,306
Ireland,2024-08-08,501
Ireland,2024-08-09,445
Ireland,2024-08-10,642
Ireland,2024-08-11,1040
Ireland,2024-08-12,1088
Ireland,2024-08-13,977
Ireland,2024-08-14,846
Ireland,2024-08-15,982
Ireland,2024-08-16,906
Ireland,2024-08-17,761
Liechtenstein,2024-08-05,0
Liechtenstein,2024-08-06,0
Liechtenstein,2024-08-07,0
Liechtenstein,2024-08-08,1
Liechtenstein,2024-08-09,0
Liechtenstein,2024-08-10,1
