region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Austria,2024-09-19,,estimate,290,313.7,124.4,166.8,231.4,266.5,318,371.3,537.3
Austria,2024-09-20,,estimate,295.6,319.4,129.7,173.8,233.5,269.2,323.9,374.9,549.3
Austria,2024-09-21,,estimate,301.1,328.6,139.2,174.8,236.4,275.6,333.9,385.9,565.2
Austria,2024-09-22,,estimate,310.1,342,152.4,177.7,243.1,281.5,345.1,400.7,595.8
Austria,2024-09-23,,estimate,324.7,360.3,169,184.1,253.1,293.8,362.3,428.7,635.8
Austria,2024-09-24,,estimate,344,384.9,189.4,192.8,268.6,310.7,383,459.4,690.3
Austria,2024-09-25,,estimate,370.2,417.3,214.4,204.5,285.9,333.2,411.1,496.9,769.5
Austria,2024-09-26,,estimate,403.4,459.7,245.9,217.9,310.1,365,449.8,550.9,864.2
Austria,2024-09-27,,estimate based on partial data,447.7,515.2,287.9,239.6,337.6,405,499.1,619.4,991.9
Austria,2024-09-28,,estimate based on partial data,506.2,589,348.9,254.9,373.1,457.4,573.7,712.4,1169.7
Austria,2024-09-29,,estimate based on partial data,583.5,688.8,446.2,263.8,411.8,513.5,668.5,833.1,1428.7
Austria,2024-09-30,,forecast,661.1,816.9,601.7,263.9,454.1,573.7,775.9,981.1,1849.8
Austria,2024-10-01,,forecast,752.7,984.4,860,263.1,493.1,637.1,885.1,1180.2,2419.9
Austria,2024-10-02,,forecast,847.7,1207.7,1313.9,261.8,528.4,716.4,1022.3,1415.9,3209.7
Austria,2024-10-03,,forecast,959.4,1512.6,2161.1,260.8,560.8,792.6,1186.3,1710.1,4302.7
Austria,2024-10-04,,forecast,1089,1939.5,3813.6,255,600.9,861.4,1358.7,2066.5,5911
Belgium,2024-09-19,,estimate,23877.4,24910.6,7505.5,15155.4,19554.5,22004.6,25429,28666.2,38923.5
Belgium,2024-09-20,,estimate,21918.2,23063.4,6981.3,14211.4,18138.9,20363.4,23583.7,26324.6,35971.7
Belgium,2024-09-21,,estimate,20133.6,21307.5,6627.4,13114.6,16653.4,18773.8,21731.9,24349.2,33426
Belgium,2024-09-22,,estimate,18527.8,19831.7,6444.5,12089.6,15503.7,17284.3,20141.3,22718.6,31843.5
Belgium,2024-09-23,,estimate,17478.4,18817.3,6438.4,11326.2,14532.5,16218.1,18899.9,21630.1,30478.7
Belgium,2024-09-24,,estimate,16876,18407.8,6565.7,10916.2,14100.7,15751.1,18411.3,21340.4,30257.6
Belgium,2024-09-25,,estimate,17053.2,18731.9,6776.5,11099.5,14245.6,16000.8,18600.6,21647.3,30704.5
Belgium,2024-09-26,,estimate,18270.2,19952.8,7074.1,11936.9,15275.4,17085.9,19909.5,22971.8,32586.7
Belgium,2024-09-27,,estimate based on partial data,20739,22331.3,7598.2,13477.5,17182.4,19314.6,22363.3,25660.8,36035
Belgium,2024-09-28,,estimate based on partial data,24673.8,26295.9,8800.9,15537.7,20340.7,22928.3,26623.7,30388.5,42060.6
Belgium,2024-09-29,,estimate based on partial data,30494.6,32509.4,11691.7,17356.4,24568.8,28151.2,33424.9,38791,52600.8
Belgium,2024-09-30,,forecast,37940.2,40453.4,16754.7,18498.3,28704.6,34525.4,42155.3,49836.6,69872.4
Belgium,2024-10-01,,forecast,46416.6,50669.2,24696.2,19053.3,33059.2,41356.7,52968.4,63602.3,93123.5
Belgium,2024-10-02,,forecast,56918.1,63719.9,36333.9,19520.1,37786.1,48942.8,66853.3,82002.6,127812.8
Belgium,2024-10-03,,forecast,69633.2,80173.1,52532.6,19964.1,42508.8,58183.7,83093.6,105406.5,174392
Belgium,2024-10-04,,forecast,84002.4,100446.7,73766.1,20379.8,47680.4,68527.5,101785.7,134763,231180
Bulgaria,2024-09-19,,estimate,12889.8,14306.2,6773.7,6469.8,9483,11561.6,14450.9,17490.6,26695.3
Bulgaria,2024-09-20,,estimate,13641.8,15527.6,7821.9,6828.1,10089.3,12305.4,15489.3,18697,29274.3
Bulgaria,2024-09-21,,estimate,14872.3,17241.8,9423.9,7239.5,10807.2,13192.2,16935.2,20906,34831.7
Bulgaria,2024-09-22,,estimate,16318,19573.3,11735.4,7693,11625.7,14265.8,18754.3,23654.9,41446.2
