region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Bulgaria,2021-11-27,1218,47,,,,,,,,,
Bulgaria,2021-11-28,728,58,,,,,,,,,
Bulgaria,2021-11-29,3020,224,,,,,,,,,
Bulgaria,2021-11-30,2681,128,,,,,,,,,
Bulgaria,2021-12-01,2105,89,,,,,,,,,
Bulgaria,2021-12-02,2018,114,,,,,,,,,
Bulgaria,2021-12-03,2289,113,,,,,,,,,
Bulgaria,2021-12-04,985,36,,,,,,,,,
Bulgaria,2021-12-05,706,47,,,,,,,,,
Bulgaria,2021-12-06,2426,208,,,,,,,,,
Bulgaria,2021-12-07,2299,103,,,,,,,,,
Bulgaria,2021-12-08,1652,116,,,,,,,,,
Bulgaria,2021-12-09,1827,103,,,,,,,,,
Bulgaria,2021-12-10,1719,77,,,,,,,,,
Bulgaria,2021-12-11,1073,27,,,,,,,,,
Bulgaria,2021-12-12,532,50,,,,,,,,,
Bulgaria,2021-12-13,0,0,,,,,,,,,
Bulgaria,2021-12-14,3963,228,,,,,,,,,
Bulgaria,2021-12-15,1725,83,,,,,,,,,
Bulgaria,2021-12-16,1443,86,,,,,,,,,
Bulgaria,2021-12-17,1614,81,,,,,,,,,
Bulgaria,2021-12-18,904,33,,,,,,,,,
Bulgaria,2021-12-19,456,35,,,,,,,,,
Bulgaria,2021-12-20,2001,157,,,,,,,,,
Bulgaria,2021-12-21,1883,64,,,,,,,,,
Bulgaria,2021-12-22,1463,56,,,,,,,,,
Bulgaria,2021-12-23,1966,77,,,,,,,,,
Bulgaria,2021-12-24,1033,40,,,,,,,,,
Bulgaria,2021-12-25,743,52,,,,,,,,,
Bulgaria,2021-12-26,838,46,,,,,,,,,
Bulgaria,2021-12-27,1278,49,,,,,,,,,
Bulgaria,2021-12-28,1235,34,,,,,,,,,
Bulgaria,2021-12-29,3449,162,,,,,,,,,
Bulgaria,2021-12-30,3616,71,,,,,,,,,
Bulgaria,2021-12-31,2810,65,,,,,,,,,
Bulgaria,2022-01-01,1076,28,,,,,,,,,
Bulgaria,2022-01-02,1356,44,,,,,,,,,
Bulgaria,2022-01-03,1918,53,,,,,,,,,
Bulgaria,2022-01-04,6252,157,,,,,,,,,
Bulgaria,2022-01-05,6766,66,,,,,,,,,
Bulgaria,2022-01-06,5525,72,,,,,,,,,
Bulgaria,2022-01-07,5524,96,,,,,,,,,
Bulgaria,2022-01-08,3176,45,,,,,,,,,
Bulgaria,2022-01-09,1716,40,,,,,,,,,
Bulgaria,2022-01-10,6761,116,,,,,,,,,
Bulgaria,2022-01-11,7062,89,,,,,,,,,
Bulgaria,2022-01-12,5703,77,,,,,,,,,
Bulgaria,2022-01-13,7034,84,,,,,,,,,
Bulgaria,2022-01-14,6863,80,,,,,,,,,
Bulgaria,2022-01-15,4389,40,,,,,,,,,
Bulgaria,2022-01-16,2379,44,,,,,,,,,
Bulgaria,2022-01-17,9996,161,,,,,,,,,
Bulgaria,2022-01-18,11181,91,,,,,,,,,
Bulgaria,2022-01-19,10160,93,,,,,,,,,
Bulgaria,2022-01-20,8932,87,,,,,,,,,
Bulgaria,2022-01-21,9874,86,,,,,,,,,
Bulgaria,2022-01-22,6630,32,,,,,,,,,
Bulgaria,2022-01-23,3751,,125.8,91.5,103,29.9,61.8,84,125.4,163.2,292
Bulgaria,2022-01-24,12145,,141.9,99.4,120.5,32.9,73.8,98,140,188,328
Bulgaria,2022-01-25,16628.5,,159,99.8,140,44.9,87,117,160,203.2,356.3
Bulgaria,2022-01-26,14276,,182.7,108.5,166,51,103,136.6,190,234,394.1
Bulgaria,2022-01-27,14243.5,,195.4,119.2,171.5,54,112.8,148,199,248,423.3
Bulgaria,2022-01-28,14062,,191.9,130.6,166,54,104,141.6,192,230,438
Bulgaria,2022-01-29,7807.5,,190.1,126.9,163.5,46,99,136.6,190,245,424
Bulgaria,2022-01-30,4640,,210,149.6,177,51.9,110.8,152,208,266.2,481.1
Bulgaria,2022-01-31,15272,,239.8,146.5,207.5,62,133.8,179,243,312,511
Bulgaria,2022-02-01,18959,,261.7,151.1,235.5,74.9,157,205,268,338,552
Bulgaria,2022-02-02,15578.5,,282.3,159.1,258.5,80,168,215.6,300,366,570
Bulgaria,2022-02-03,14917,,295.3,178.4,256,85.9,176,221.6,298,380.2,612
Bulgaria,2022-02-04,13759.5,,294.9,182.4,251.5,82,167,217,290.8,379.2,660.3
Bulgaria,2022-02-05,7549.5,,279.5,182.3,238.5,79,155.8,203.6,284,357.2,600.6
Bulgaria,2022-02-06,4073.5,,308.7,201.8,265,87.9,167,224.6,308,394.5,684.2
Bulgaria,2022-02-07,13020,,345.7,212.2,302,100.8,205,258,346,435,729
Bulgaria,2022-02-08,15364.5,,374.1,216.9,330.5,114,219,282,382,486,764.2
Bulgaria,2022-02-09,11954,,384.9,227,340,116,234,299.2,392.4,482.2,770
Bulgaria,2022-02-10,10288,,408,267,348,109,235.5,304,403.4,502,924
Bulgaria,2022-02-11,8815.5,,403.5,272.3,345.5,102.9,231,298,401,503,915.4
Bulgaria,2022-02-12,4779,,415,282.8,354,104.9,219,297,411.4,530.5,944.2
Bulgaria,2022-02-13,2486.5,,437.5,292,363,104.9,239,315.6,422,550,1031
Bulgaria,2022-02-14,7294,,480.7,306.6,417,124,272,358.6,477.4,618,1071.2
Bulgaria,2022-02-15,8495.5,,505.8,314,445,124.9,287,392.6,519.4,650.5,1071
Bulgaria,2022-02-16,5991.5,,542.8,346.8,471,142.9,305,397.6,541.4,705.2,1184.7
Bulgaria,2022-02-17,5448.5,,535.3,356.7,461,122.9,291,387,531.4,683.8,1242.3
Bulgaria,2022-02-18,4568,,527.5,386.4,430.5,109.9,280,370,511.8,678.2,1218.4
Bulgaria,2022-02-19,2289.5,,537.8,383.4,442,129,263.8,370.6,527,698.5,1263.3
Bulgaria,2022-02-20,1210.5,,542.2,379.2,447,124,269.8,369,545.4,716.2,1265.2
Bulgaria,2022-02-21,3261.5,,630.2,475.3,511,120,303,415.6,617.8,831,1502.1
Bulgaria,2022-02-22,3927.5,,644.5,494,532,94,293.2,434.8,621.4,846,1606.2
Bulgaria,2022-02-23,2789.5,,683,533.8,540,109.9,313,432.6,659.8,913.2,1725.4
Denmark,2021-11-27,3744,13,,,,,,,,,
Denmark,2021-11-28,4290,9,,,,,,,,,
Denmark,2021-11-29,4326,11,,,,,,,,,
Denmark,2021-11-30,4148,12,,,,,,,,,
Denmark,2021-12-01,5120,14,,,,,,,,,
Denmark,2021-12-02,4680,3,,,,,,,,,
Denmark,2021-12-03,4559,15,,,,,,,,,
Denmark,2021-12-04,4325,12,,,,,,,,,
Denmark,2021-12-05,3026,7,,,,,,,,,
Denmark,2021-12-06,7146,10,,,,,,,,,
Denmark,2021-12-07,6324,9,,,,,,,,,
Denmark,2021-12-08,6629,7,,,,,,,,,
Denmark,2021-12-09,6985,11,,,,,,,,,
Denmark,2021-12-10,6599,13,,,,,,,,,
Denmark,2021-12-11,5606,9,,,,,,,,,
Denmark,2021-12-12,5989,9,,,,,,,,,
Denmark,2021-12-13,7799,9,,,,,,,,,
Denmark,2021-12-14,8314,7,,,,,,,,,
Denmark,2021-12-15,8773,9,,,,,,,,,
Denmark,2021-12-16,9999,12,,,,,,,,,
Denmark,2021-12-17,11194,3,,,,,,,,,
Denmark,2021-12-18,8594,13,,,,,,,,,
Denmark,2021-12-19,8212,9,,,,,,,,,
Denmark,2021-12-20,10082,8,,,,,,,,,
Denmark,2021-12-21,20578,60,,,,,,,,,
Denmark,2021-12-22,13386,14,,,,,,,,,
Denmark,2021-12-23,12487,15,,,,,,,,,
Denmark,2021-12-24,11229,14,,,,,,,,,
Denmark,2021-12-25,0,0,,,,,,,,,
Denmark,2021-12-26,0,0,,,,,,,,,
Denmark,2021-12-27,41035,30,,,,,,,,,
Denmark,2021-12-28,13000,14,,,,,,,,,
Denmark,2021-12-29,23228,16,,,,,,,,,
Denmark,2021-12-30,21403,9,,,,,,,,,
Denmark,2021-12-31,18695,11,,,,,,,,,
Denmark,2022-01-01,20885,5,,,,,,,,,
Denmark,2022-01-02,7954,15,,,,,,,,,
Denmark,2022-01-03,8801,5,,,,,,,,,
Denmark,2022-01-04,25073,15,,,,,,,,,
Denmark,2022-01-05,28283,15,,,,,,,,,
Denmark,2022-01-06,25995,11,,,,,,,,,
Denmark,2022-01-07,18261,10,,,,,,,,,
Denmark,2022-01-08,12588,28,,,,,,,,,
Denmark,2022-01-09,19248,14,,,,,,,,,
Denmark,2022-01-10,14414,9,,,,,,,,,
Denmark,2022-01-11,22396,14,,,,,,,,,
Denmark,2022-01-12,24343,25,,,,,,,,,
Denmark,2022-01-13,25751,20,,,,,,,,,
Denmark,2022-01-14,23614,15,,,,,,,,,
Denmark,2022-01-15,25034,16,,,,,,,,,
Denmark,2022-01-16,26169,10,,,,,,,,,
Denmark,2022-01-17,28780,11,,,,,,,,,
Denmark,2022-01-18,33493,14,,,,,,,,,
Denmark,2022-01-19,38759,16,,,,,,,,,
Denmark,2022-01-20,40626,15,,,,,,,,,
Denmark,2022-01-21,46831,21,,,,,,,,,
Denmark,2022-01-22,36120,25,,,,,,,,,
Denmark,2022-01-23,24362,,21.5,8.8,21,9,15,19,23,27,37
Denmark,2022-01-24,36760,,22.8,10.7,22,8,16,19,24,28,41
Denmark,2022-01-25,36975.5,,24.6,10.6,24,10,17,21,26,30,42
Denmark,2022-01-26,36556.5,,25.4,11.1,24,11,18,21.6,27,31,44
Denmark,2022-01-27,29845.5,,26.7,11.6,25,10.9,18,23,28,33,49
Denmark,2022-01-28,23519.5,,28.2,11.9,27,11,20,24,30,35,49
Denmark,2022-01-29,15910.5,,28.7,12.3,27,12,20,24,30,36,50
Denmark,2022-01-30,10579.5,,29.1,14.2,27,11,20,24,30,35,55
Denmark,2022-01-31,12294,,30.6,14.8,28,10,21,25,32,37,57
Denmark,2022-02-01,9786.5,,30.5,15.1,28,11.9,20,25,31,38,56
Denmark,2022-02-02,8325.5,,30.8,15.1,29,11,21,25.6,32,37,59
Denmark,2022-02-03,5847,,29.8,16.2,27,10,19,24,31,37,56
Denmark,2022-02-04,4678.5,,28.4,15.1,26,9,18,23,30,36,54
Denmark,2022-02-05,2743,,27,15.1,24,8,16,21,28,35,55
Denmark,2022-02-06,1752.5,,25.6,15.4,23,6.9,15,20,26,33,54
Denmark,2022-02-07,1932,,23.9,14.6,21,7,13,18,24,30,51
Denmark,2022-02-08,1485,,22.5,14.3,19,5,13,17,23,30,49
Denmark,2022-02-09,988,,20.7,14.2,17,4,10,14.6,21,28,50
Denmark,2022-02-10,625.5,,18.6,13.9,15,4,9,12,19,25,43
Denmark,2022-02-11,369.5,,17.1,13.9,13,2,7,11,16,23,45
Denmark,2022-02-12,174.5,,15.8,14.5,12,2,6,9,15,22,40
Denmark,2022-02-13,90,,14.2,14.4,10,1,5,8,13,19,39
Denmark,2022-02-14,70,,12.8,12.4,9,1,5,7,12,17,36
Denmark,2022-02-15,41,,11.5,11.7,8,1,4,6,10,15,33.1
Denmark,2022-02-16,20,,10.2,10.9,7,0,3,5,9,14,30
Denmark,2022-02-17,10,,8.7,10.3,6,0,2,4,8,12,28
Denmark,2022-02-18,4,,7.8,9.5,5,0,2,3,7,11,25
Denmark,2022-02-19,1,,6.9,9.8,4,0,1,3,5.4,9,23
Denmark,2022-02-20,0,,5.6,7.5,3,0,1,2,5,7,21
Denmark,2022-02-21,0,,5.1,8.3,3,0,1,2,4,7,17
Denmark,2022-02-22,0,,4.5,8.6,2,0,0,1,3,6,16
