region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
France,5521 (3099 -- 11260),5521,6188,2776,3099,4323,5046,6082,7353,11260,New confirmed cases by infection date,Likely increasing,0.11
Italy,4280 (2079 -- 11454),4280,5308,3784,2079,3175,3806,4955,6218,11454,New confirmed cases by infection date,Likely decreasing,0.71
Finland,1547 (608 -- 3791),1547,1815,1207,608,1102,1359,1754,2191,3791,New confirmed cases by infection date,Likely increasing,0.29
Spain,1379 (592 -- 3534),1379,1660,1169,592,926,1194,1580,2027,3534,New confirmed cases by infection date,Likely decreasing,0.67
Croatia,759 (335 -- 2108),759,942,612,335,522,648,893,1189,2108,New confirmed cases by infection date,Likely increasing,0.28
Greece,735 (447 -- 1353),735,787,290,447,587,672,795,918,1353,New confirmed cases by infection date,Likely decreasing,0.64
Portugal,691 (386 -- 1282),691,745,321,386,532,624,751,876,1282,New confirmed cases by infection date,Stable,0.5
Germany,651 (372 -- 1341),651,731,343,372,508,586,719,848,1341,New confirmed cases by infection date,Decreasing,1
Sweden,633 (220 -- 2130),633,815,696,220,423,540,732,956,2130,New confirmed cases by infection date,Likely decreasing,0.78
Denmark,536 (210 -- 1467),536,658,522,210,367,462,625,790,1467,New confirmed cases by infection date,Stable,0.56
Romania,528 (260 -- 1120),528,595,327,260,397,474,591,713,1120,New confirmed cases by infection date,Likely decreasing,0.63
Bulgaria,450 (195 -- 1168),450,539,348,195,317,393,519,648,1168,New confirmed cases by infection date,Likely increasing,0.15
Poland,403 (143 -- 1429),403,540,496,143,258,342,473,643,1429,New confirmed cases by infection date,Decreasing,0.97
Austria,290 (148 -- 584),290,320,140,148,219,263,324,392,584,New confirmed cases by infection date,Decreasing,0.98
Latvia,248 (113 -- 599),248,294,198,113,176,217,285,355,599,New confirmed cases by infection date,Likely decreasing,0.64
Belgium,214 (78 -- 592),214,256,178,78,146,185,245,306,592,New confirmed cases by infection date,Decreasing,1
Slovenia,204 (79 -- 591),204,255,207,79,135,173,235,308,591,New confirmed cases by infection date,Likely decreasing,0.89
Czechia,185 (84 -- 468),185,222,187,84,130,163,212,265,468,New confirmed cases by infection date,Decreasing,0.99
Estonia,146 (53 -- 446),146,189,168,53,95,122,171,226,446,New confirmed cases by infection date,Stable,0.51
Hungary,110 (57 -- 273),110,130,72,57,85,100,123,151,273,New confirmed cases by infection date,Likely decreasing,0.84
Ireland,105 (35 -- 302),105,128,93,35,68,90,122,157,302,New confirmed cases by infection date,Likely decreasing,0.76
Luxembourg,69 (26 -- 188),69,83,56,26,46,59,80,103,188,New confirmed cases by infection date,Stable,0.5
Slovakia,52 (14 -- 179),52,69,66,14,31,42,62,86,179,New confirmed cases by infection date,Likely decreasing,0.78
Lithuania,31 (9 -- 99),31,40,35,9,19,26,37,49,99,New confirmed cases by infection date,Likely decreasing,0.8
