region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Austria,2023-06-01,,estimate,632.9,683.6,243.8,408.9,517.3,591,687.2,780.4,1144.1
Austria,2023-06-02,,estimate,584.9,636.6,240,376.3,478,540.1,633.1,723.6,1074.2
Austria,2023-06-03,,estimate,526.6,579.6,230.1,337.6,432.1,483.9,571.5,658,1005
Austria,2023-06-04,,estimate,463.2,513.9,211.5,295.4,379.6,427.4,501.8,583.1,908.7
Austria,2023-06-05,,estimate,398.2,443.1,185.6,253.9,324.6,365.9,432.1,501.8,792.3
Austria,2023-06-06,,estimate,334.7,371.7,156.1,211.7,271.6,307.2,363.2,421.5,667
Austria,2023-06-07,,estimate,272.1,304.2,127.4,171.8,221.6,251.5,298.3,345.1,537.6
Austria,2023-06-08,,estimate,218.3,243.9,103.3,133,176.5,201.8,238.2,278.6,438.4
Austria,2023-06-09,,estimate based on partial data,172.6,192.8,85.8,98.9,137.4,157.5,188.3,225.4,350.1
Austria,2023-06-10,,estimate based on partial data,133.7,151.4,75,69.9,103.6,121.3,147.8,178.6,288.2
Austria,2023-06-11,,estimate based on partial data,102.3,119.2,69.1,47.6,76.4,92.1,115.2,143.6,240.5
Austria,2023-06-12,,forecast,78.9,95,65.7,31.3,55.5,69.8,90.4,115.3,209.1
Austria,2023-06-13,,forecast,60.5,76.7,63.5,20.4,40.4,52.9,71.1,93.6,177.5
Austria,2023-06-14,,forecast,46.8,62.7,62.1,13.1,29,39.5,56.3,75.9,157.1
Austria,2023-06-15,,forecast,36.2,51.8,61.3,8.2,20.9,29.8,44.5,62.2,138.9
Austria,2023-06-16,,forecast,28.2,43.4,61.1,5.2,14.9,22.6,34.6,50.9,123.6
Belgium,2023-06-01,,estimate,488.6,516.5,153.4,325.7,407.3,457.9,523.2,602.7,788.3
Belgium,2023-06-02,,estimate,448.4,475.4,141.4,296.1,374.9,422.5,483.6,544.9,742.7
Belgium,2023-06-03,,estimate,403.4,423.7,129.6,258.2,330.3,374.1,431.2,488.8,669.4
Belgium,2023-06-04,,estimate,344.7,363.8,115.3,218.6,282.7,319,369.2,421.8,576.5
Belgium,2023-06-05,,estimate,282.2,300.4,99.3,178.2,231.5,260.3,303,350.8,482.8
Belgium,2023-06-06,,estimate,222.2,238.6,83.7,139.7,180.8,205.2,240.4,276.9,386.7
Belgium,2023-06-07,,estimate,168.8,182.9,70.3,103.9,137.3,155.2,183.7,215.6,302.8
Belgium,2023-06-08,,estimate,123.6,136.2,60.3,71.7,98.5,112.9,135.4,159.3,236
Belgium,2023-06-09,,estimate based on partial data,87.9,99.5,53.7,45.6,67.5,79,97.9,117.2,185.1
Belgium,2023-06-10,,estimate based on partial data,61.8,72.4,50.4,27.2,44.2,53.7,69.8,86.1,146.7
Belgium,2023-06-11,,estimate based on partial data,41.9,53.3,51.6,14.4,27.9,35.8,49.4,64.8,123.7
Belgium,2023-06-12,,forecast,28.8,40.5,61.8,7.8,17.7,23.6,34.9,48.4,103.6
Belgium,2023-06-13,,forecast,19.9,32.1,89,4.2,11.1,15.6,25,36.3,88.4
Belgium,2023-06-14,,forecast,13.7,26.9,144.6,2.1,6.8,10.5,17.6,27.1,75.1
Belgium,2023-06-15,,forecast,9.4,24.5,246.4,1.1,4.3,6.9,12.5,20.4,64.8
Belgium,2023-06-16,,forecast,6.4,25.2,426.3,0.6,2.6,4.6,8.9,15.4,56.5
Bulgaria,2023-06-01,,estimate,304.9,329.3,118.3,182.9,244.1,283.1,333,394,553.1
Bulgaria,2023-06-02,,estimate,306.7,331.6,120.3,184.5,246.7,281.6,336.6,394.8,559
Bulgaria,2023-06-03,,estimate,305.4,333.6,124,183.7,246.3,284.9,335.2,396.1,563.6
Bulgaria,2023-06-04,,estimate,306.5,334.6,128,182.2,245,281.1,334.7,395.9,579.2
Bulgaria,2023-06-05,,estimate,305.1,334.2,131.5,178.7,243,278.5,335.9,394.1,588.7
Bulgaria,2023-06-06,,estimate,300.9,331.8,134.3,172.4,240.4,276.4,330,390.6,589.9
Bulgaria,2023-06-07,,estimate,296.1,327.4,136.4,167.8,233.9,270.7,325.7,385.9,581
Bulgaria,2023-06-08,,estimate,289.5,321.1,138.6,162.6,226.6,265.1,319.5,381.4,584.6
