region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
France,939 (500 -- 2180),939,1093,594,500,731,858,1051,1266,2180,New confirmed cases by infection date,Decreasing,0.95
Finland,614 (233 -- 1458),614,710,552,233,410,530,703,879,1458,New confirmed cases by infection date,Stable,0.53
Portugal,530 (273 -- 1135),530,604,299,273,398,476,601,741,1135,New confirmed cases by infection date,Likely decreasing,0.77
Spain,473 (173 -- 1597),473,630,571,173,307,396,556,749,1597,New confirmed cases by infection date,Decreasing,0.96
Sweden,312 (70 -- 1175),312,438,505,70,169,254,383,543,1175,New confirmed cases by infection date,Likely decreasing,0.88
Italy,222 (108 -- 474),222,247,125,108,165,198,247,293,474,New confirmed cases by infection date,Decreasing,1
Greece,191 (107 -- 375),191,217,123,107,150,174,211,249,375,New confirmed cases by infection date,Decreasing,0.96
Bulgaria,144 (64 -- 378),144,174,115,64,101,127,165,209,378,New confirmed cases by infection date,Likely decreasing,0.69
Germany,119 (55 -- 389),119,162,166,55,85,105,136,178,389,New confirmed cases by infection date,Decreasing,0.99
Denmark,76 (16 -- 273),76,102,98,16,40,60,95,131,273,New confirmed cases by infection date,Likely decreasing,0.94
Austria,65 (25 -- 185),65,83,65,25,43,55,78,101,185,New confirmed cases by infection date,Likely decreasing,0.93
Malta,42 (12 -- 182),42,66,111,12,25,34,51,73,182,New confirmed cases by infection date,Likely increasing,0.15
Croatia,41 (10 -- 170),41,57,59,10,23,33,50,70,170,New confirmed cases by infection date,Decreasing,0.96
Romania,39 (12 -- 116),39,49,53,12,25,33,45,59,116,New confirmed cases by infection date,Likely decreasing,0.9
Belgium,38 (10 -- 131),38,51,46,10,23,31,46,62,131,New confirmed cases by infection date,Likely decreasing,0.93
Slovenia,29 (8 -- 99),29,39,35,8,18,24,35,48,99,New confirmed cases by infection date,Decreasing,0.96
Ireland,26 (6 -- 91),26,35,36,6,15,21,32,45,91,New confirmed cases by infection date,Decreasing,0.98
Poland,24 (6 -- 117),24,36,39,6,14,20,30,41,117,New confirmed cases by infection date,Likely decreasing,0.94
Latvia,21 (4 -- 88),21,33,48,4,12,17,26,37,88,New confirmed cases by infection date,Decreasing,0.96
Hungary,16 (3 -- 61),16,23,25,3,8,13,20,29,61,New confirmed cases by infection date,Likely decreasing,0.9
Czechia,7 (0 -- 38),7,12,17,0,3,5,10,17,38,New confirmed cases by infection date,Decreasing,0.95
Estonia,6 (0 -- 43),6,12,17,0,2,4,9,15,43,New confirmed cases by infection date,Likely decreasing,0.92
Lithuania,2 (0 -- 20),2,5,8,0,0,1,3,6,20,New confirmed cases by infection date,Decreasing,0.97
Slovakia,2 (0 -- 16),2,4,7,0,0,1,3,5,16,New confirmed cases by infection date,Likely decreasing,0.86
Malta,1.1 (0.93 -- 1.6),1.1,1.2,0.21,0.93,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Likely increasing,0.15
Finland,0.99 (0.72 -- 1.3),0.99,0.99,0.17,0.72,0.9,0.95,1,1.1,1.3,Effective reproduction no.,Stable,0.53
Bulgaria,0.96 (0.79 -- 1.1),0.96,0.96,0.11,0.79,0.9,0.94,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.69
Portugal,0.95 (0.82 -- 1.1),0.95,0.95,0.086,0.82,0.9,0.93,0.97,1,1.1,Effective reproduction no.,Likely decreasing,0.77
Romania,0.87 (0.65 -- 1),0.87,0.86,0.12,0.65,0.78,0.84,0.89,0.94,1,Effective reproduction no.,Likely decreasing,0.9
Slovakia,0.85 (0.49 -- 1.1),0.85,0.83,0.18,0.49,0.73,0.81,0.89,0.95,1.1,Effective reproduction no.,Likely decreasing,0.86
France,0.84 (0.68 -- 1),0.84,0.84,0.096,0.68,0.78,0.82,0.86,0.9,1,Effective reproduction no.,Decreasing,0.95
Greece,0.84 (0.72 -- 0.98),0.84,0.85,0.083,0.72,0.79,0.82,0.86,0.89,0.98,Effective reproduction no.,Decreasing,0.96
Hungary,0.83 (0.56 -- 1.1),0.83,0.82,0.15,0.56,0.72,0.79,0.87,0.92,1.1,Effective reproduction no.,Likely decreasing,0.9
Sweden,0.83 (0.52 -- 1.1),0.83,0.81,0.17,0.52,0.7,0.78,0.87,0.93,1.1,Effective reproduction no.,Likely decreasing,0.88
Belgium,0.82 (0.56 -- 1),0.82,0.81,0.15,0.56,0.71,0.78,0.85,0.9,1,Effective reproduction no.,Likely decreasing,0.93
Poland,0.8 (0.58 -- 1),0.8,0.8,0.13,0.58,0.71,0.77,0.83,0.89,1,Effective reproduction no.,Likely decreasing,0.94
Austria,0.79 (0.61 -- 1),0.79,0.8,0.13,0.61,0.69,0.74,0.83,0.88,1,Effective reproduction no.,Likely decreasing,0.93
Latvia,0.79 (0.52 -- 0.99),0.79,0.78,0.15,0.52,0.68,0.75,0.83,0.88,0.99,Effective reproduction no.,Decreasing,0.96
Croatia,0.78 (0.53 -- 0.98),0.78,0.76,0.14,0.53,0.67,0.73,0.81,0.86,0.98,Effective reproduction no.,Decreasing,0.96
Czechia,0.78 (0.45 -- 1),0.78,0.75,0.17,0.45,0.63,0.72,0.82,0.87,1,Effective reproduction no.,Decreasing,0.95
Denmark,0.78 (0.5 -- 1),0.78,0.77,0.17,0.5,0.66,0.74,0.83,0.89,1,Effective reproduction no.,Likely decreasing,0.94
Slovenia,0.78 (0.55 -- 0.98),0.78,0.77,0.13,0.55,0.68,0.74,0.81,0.86,0.98,Effective reproduction no.,Decreasing,0.96
