region,date,confirm
Austria,2023-07-18,24
Austria,2023-07-19,22
Austria,2023-07-20,11
Austria,2023-07-21,14
Austria,2023-07-22,10
Austria,2023-07-23,9
Austria,2023-07-24,7
Austria,2023-07-25,5
Austria,2023-07-26,5
Belgium,2023-07-18,16
Belgium,2023-07-19,16
Belgium,2023-07-20,11
Belgium,2023-07-21,9
Belgium,2023-07-22,5
Belgium,2023-07-23,5
Belgium,2023-07-24,3
Belgium,2023-07-25,7
Belgium,2023-07-26,2
Belgium,2023-07-27,1
Bulgaria,2023-07-18,21
Bulgaria,2023-07-19,14
Bulgaria,2023-07-20,12
Bulgaria,2023-07-21,15
Bulgaria,2023-07-22,10
Bulgaria,2023-07-23,13
Bulgaria,2023-07-24,12
Bulgaria,2023-07-25,5
Bulgaria,2023-07-26,12
Bulgaria,2023-07-27,5
Bulgaria,2023-07-28,17
Bulgaria,2023-07-29,5
Bulgaria,2023-07-30,3
Croatia,2023-07-18,28
Croatia,2023-07-19,31
Croatia,2023-07-20,17
Croatia,2023-07-21,15
Croatia,2023-07-22,10
Croatia,2023-07-23,5
Croatia,2023-07-24,5
Croatia,2023-07-26,11
Croatia,2023-07-27,2
Croatia,2023-07-28,1
Croatia,2023-07-29,5
Croatia,2023-07-30,1
Cyprus,2023-07-18,0
Cyprus,2023-07-19,2
Cyprus,2023-07-20,1
Cyprus,2023-07-21,0
Cyprus,2023-07-22,0
Cyprus,2023-07-23,0
Cyprus,2023-07-24,0
Cyprus,2023-07-25,0
Cyprus,2023-07-26,0
Cyprus,2023-07-27,0
Cyprus,2023-07-28,0
Czechia,2023-07-18,14
Czechia,2023-07-19,11
Czechia,2023-07-20,9
Czechia,2023-07-21,6
Czechia,2023-07-22,7
Czechia,2023-07-23,1
Czechia,2023-07-24,1
Czechia,2023-07-25,2
Czechia,2023-07-26,1
Czechia,2023-07-27,0
Czechia,2023-07-28,0
Czechia,2023-07-29,1
Czechia,2023-07-30,0
Denmark,2023-07-18,37
Denmark,2023-07-19,25
Denmark,2023-07-20,48
Denmark,2023-07-21,13
Denmark,2023-07-22,13
Denmark,2023-07-23,8
Denmark,2023-07-24,8
Denmark,2023-07-25,7
Denmark,2023-07-26,2
Denmark,2023-07-27,6
Denmark,2023-07-28,5
Denmark,2023-07-29,1
Estonia,2023-07-18,9
Estonia,2023-07-19,1
Estonia,2023-07-20,3
Estonia,2023-07-21,3
Estonia,2023-07-22,2
Estonia,2023-07-23,2
Estonia,2023-07-24,2
Estonia,2023-07-25,0
Estonia,2023-07-26,1
Estonia,2023-07-27,0
Estonia,2023-07-28,0
Estonia,2023-07-29,1
Estonia,2023-07-30,1
Finland,2023-07-18,104
Finland,2023-07-19,83
Finland,2023-07-20,94
Finland,2023-07-21,87
Finland,2023-07-22,38
Finland,2023-07-23,7
France,2023-07-18,253
France,2023-07-19,238
France,2023-07-20,160
France,2023-07-21,134
France,2023-07-22,149
France,2023-07-23,112
France,2023-07-24,106
France,2023-07-25,67
France,2023-07-26,68
Germany,2023-07-18,135
Germany,2023-07-19,137
Germany,2023-07-20,90
Germany,2023-07-21,69
Germany,2023-07-22,67
Germany,2023-07-23,55
Germany,2023-07-24,32
Germany,2023-07-25,30
Germany,2023-07-26,15
Germany,2023-07-27,8
Greece,2023-07-18,61
Greece,2023-07-19,55
Greece,2023-07-20,55
Greece,2023-07-21,56
Greece,2023-07-22,49
Greece,2023-07-23,43
Greece,2023-07-24,38
Greece,2023-07-25,20
Greece,2023-07-26,18
Greece,2023-07-27,18
Greece,2023-07-28,16
Greece,2023-07-29,17
Greece,2023-07-30,15
Hungary,2023-07-18,8
Hungary,2023-07-19,4
Hungary,2023-07-20,4
Hungary,2023-07-21,5
Hungary,2023-07-22,3
Hungary,2023-07-23,1
Hungary,2023-07-24,2
Hungary,2023-07-26,1
Hungary,2023-07-27,1
Ireland,2023-07-18,17
Ireland,2023-07-19,6
Ireland,2023-07-20,16
Ireland,2023-07-21,18
Ireland,2023-07-22,8
Ireland,2023-07-23,12
Ireland,2023-07-24,7
Ireland,2023-07-25,7
Ireland,2023-07-26,6
Ireland,2023-07-27,4
Ireland,2023-07-28,6
Ireland,2023-07-29,1
Ireland,2023-07-30,0
Italy,2023-07-18,326
Italy,2023-07-19,231
Italy,2023-07-20,277
Italy,2023-07-21,226
Italy,2023-07-22,211
Italy,2023-07-23,162
Italy,2023-07-24,120
Italy,2023-07-25,123
Italy,2023-07-26,90
Italy,2023-07-27,52
Italy,2023-07-28,27
Italy,2023-07-29,29
Italy,2023-07-30,5
Latvia,2023-07-18,12
Latvia,2023-07-19,12
Latvia,2023-07-20,4
Latvia,2023-07-21,9
Latvia,2023-07-22,5
Latvia,2023-07-23,4
Latvia,2023-07-24,10
Latvia,2023-07-25,3
Latvia,2023-07-26,2
Latvia,2023-07-27,2
Latvia,2023-07-28,1
Latvia,2023-07-29,1
Latvia,2023-07-30,0
Lithuania,2023-07-18,1
Lithuania,2023-07-19,2
Lithuania,2023-07-20,1
Lithuania,2023-07-21,4
Lithuania,2023-07-22,2
Lithuania,2023-07-23,3
Lithuania,2023-07-24,1
Lithuania,2023-07-25,1
Lithuania,2023-07-26,0
Lithuania,2023-07-27,0
Lithuania,2023-07-28,0
Lithuania,2023-07-29,0
Lithuania,2023-07-30,0
Malta,2023-07-18,0
Malta,2023-07-19,0
Malta,2023-07-20,0
Malta,2023-07-21,1
Malta,2023-07-22,1
Malta,2023-07-23,2
Malta,2023-07-24,1
Malta,2023-07-25,1
Malta,2023-07-26,0
Malta,2023-07-27,3
Malta,2023-07-28,1
Malta,2023-07-29,3
Malta,2023-07-30,1
Poland,2023-07-18,35
Poland,2023-07-19,8
Poland,2023-07-20,22
Poland,2023-07-21,11
Poland,2023-07-22,13
Poland,2023-07-23,8
Poland,2023-07-24,5
Poland,2023-07-25,1
Poland,2023-07-26,1
Poland,2023-07-27,2
Poland,2023-07-28,3
Poland,2023-07-29,2
Poland,2023-07-30,0
Portugal,2023-07-18,34
Portugal,2023-07-19,50
Portugal,2023-07-20,23
Portugal,2023-07-21,42
Portugal,2023-07-22,36
Portugal,2023-07-23,45
Portugal,2023-07-24,39
Portugal,2023-07-25,43
Portugal,2023-07-26,25
