Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,99 (40 -- 247),Stable,0.97 (0.75 -- 1.2),-0.038 (-0.36 -- 0.26),-18 (2.7 -- -1.9)
Belgium,35 (15 -- 96),Likely decreasing,0.94 (0.73 -- 1.2),-0.073 (-0.38 -- 0.19),-9.5 (3.7 -- -1.8)
Bulgaria,28 (5 -- 139),Decreasing,0.7 (0.44 -- 0.96),-0.44 (-0.97 -- -0.054),-1.6 (-13 -- -0.71)
Croatia,55 (13 -- 192),Likely decreasing,0.92 (0.66 -- 1.1),-0.1 (-0.51 -- 0.15),-6.7 (4.5 -- -1.4)
Czechia,5 (0 -- 27),Likely decreasing,0.8 (0.45 -- 1),-0.27 (-0.97 -- 0.042),-2.5 (17 -- -0.72)
Denmark,33 (17 -- 94),Decreasing,0.83 (0.7 -- 0.98),-0.23 (-0.44 -- -0.02),-3 (-35 -- -1.6)
Estonia,10 (1 -- 42),Likely decreasing,0.87 (0.64 -- 1.1),-0.17 (-0.54 -- 0.16),-4 (4.3 -- -1.3)
Finland,302 (77 -- 1407),Stable,0.99 (0.75 -- 1.3),-0.012 (-0.36 -- 0.35),-58 (2 -- -1.9)
France,1290 (571 -- 3748),Likely decreasing,0.96 (0.76 -- 1.2),-0.057 (-0.35 -- 0.25),-12 (2.8 -- -2)
Germany,268 (82 -- 804),Likely decreasing,0.89 (0.58 -- 1.1),-0.14 (-0.69 -- 0.17),-4.8 (4.1 -- -1)
Greece,285 (140 -- 693),Likely decreasing,0.97 (0.85 -- 1.2),-0.038 (-0.2 -- 0.24),-18 (2.9 -- -3.4)
Hungary,15 (3 -- 60),Likely decreasing,0.94 (0.69 -- 1.2),-0.085 (-0.46 -- 0.21),-8.2 (3.2 -- -1.5)
Ireland,25 (6 -- 81),Decreasing,0.79 (0.56 -- 0.97),-0.3 (-0.7 -- -0.035),-2.3 (-20 -- -0.99)
Italy,327 (178 -- 748),Decreasing,0.81 (0.67 -- 0.94),-0.27 (-0.49 -- -0.084),-2.6 (-8.3 -- -1.4)
Latvia,10 (1 -- 45),Likely decreasing,0.81 (0.52 -- 1),-0.26 (-0.79 -- 0.032),-2.6 (22 -- -0.88)
Lithuania,1 (0 -- 14),Decreasing,0.65 (0.23 -- 0.99),-0.54 (-1.7 -- -0.012),-1.3 (-57 -- -0.42)
Malta,35 (11 -- 142),Stable,1 (0.82 -- 1.3),0.033 (-0.25 -- 0.38),21 (1.8 -- -2.7)
Poland,15 (3 -- 57),Likely decreasing,0.84 (0.6 -- 1.1),-0.22 (-0.63 -- 0.081),-3.2 (8.6 -- -1.1)
Portugal,645 (341 -- 1307),Likely increasing,1.1 (0.92 -- 1.3),0.066 (-0.098 -- 0.33),10 (2.1 -- -7.1)
Romania,49 (17 -- 153),Likely decreasing,0.95 (0.76 -- 1.1),-0.071 (-0.34 -- 0.17),-9.7 (4.2 -- -2)
Slovakia,2 (0 -- 21),Stable,0.98 (0.59 -- 1.4),-0.026 (-0.63 -- 0.41),-26 (1.7 -- -1.1)
Slovenia,11 (2 -- 53),Decreasing,0.72 (0.48 -- 0.95),-0.4 (-0.88 -- -0.059),-1.7 (-12 -- -0.79)
Spain,572 (175 -- 1533),Likely decreasing,0.9 (0.57 -- 1.2),-0.14 (-0.68 -- 0.18),-5 (3.9 -- -1)
Sweden,125 (39 -- 428),Likely decreasing,0.8 (0.56 -- 1),-0.29 (-0.7 -- 0.0079),-2.4 (88 -- -0.99)
