region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Bulgaria,2024-01-04,,estimate,19,21,12.6,6,12,16,22,27,43
Bulgaria,2024-01-05,,estimate,18,20.1,12.2,5,12,16,21,25,42
Bulgaria,2024-01-06,,estimate,17,18.7,11,5,11,15,19,24,38
Bulgaria,2024-01-07,,estimate,16,18,10.6,5,11,14,18,22.2,37
Bulgaria,2024-01-08,,estimate,15,16.9,10,5,10,13,17,21,33
Bulgaria,2024-01-09,,estimate,14,15.8,9.2,4,10,12,16,20,33
Bulgaria,2024-01-10,,estimate,14,15.3,8.9,4,9,12,16,20,31
Bulgaria,2024-01-11,,estimate,13,14.9,9.9,4,9,11,15,19,31
Bulgaria,2024-01-12,,estimate based on partial data,12,14.2,9.3,4,8,11,14,18,31
Bulgaria,2024-01-13,,estimate based on partial data,12,13.2,8.4,3,7,10,14,17,28
Bulgaria,2024-01-14,,estimate based on partial data,11,13.1,8.8,3,7,10,13,17,28
Bulgaria,2024-01-15,,forecast,11,13.6,10.7,3,7,9,13,17,32
Bulgaria,2024-01-16,,forecast,11,13.5,11.8,2,6,9,13,17,34
Bulgaria,2024-01-17,,forecast,10,13.8,15.7,2,6,8,12,17,35
Bulgaria,2024-01-18,,forecast,10,14.6,17.9,1,5,8,12,18,41
Bulgaria,2024-01-19,,forecast,10,15.7,24.8,1,5,8,13,18,48
Croatia,2024-01-04,,estimate,21,24.5,18.1,4,12,17,24,32,58
Croatia,2024-01-05,,estimate,22,25.9,19.5,4,13,18,25,33,60
Croatia,2024-01-06,,estimate,23,27.4,19.6,4,15,20,28,35,64
Croatia,2024-01-07,,estimate,24,29,21.8,5,15,21,28,37,66
Croatia,2024-01-08,,estimate,27,30.4,20.9,5,16,23,30,39,71
Croatia,2024-01-09,,estimate,27,32.3,23.7,6,17,23,32,42,71
Croatia,2024-01-10,,estimate,29,34.7,26.3,6,18,25,34,45,82
Croatia,2024-01-11,,estimate based on partial data,31,36.6,25.8,6,20,27,37.4,48,84
Croatia,2024-01-12,,estimate based on partial data,32,39.7,31.1,7,20,27,39,51,96
Croatia,2024-01-13,,estimate based on partial data,35,43.8,36.2,7,21,29,42,56,113
Croatia,2024-01-14,,forecast,38,49.3,46.1,8,22,31,46,62,126
Croatia,2024-01-15,,forecast,39,52.6,50.5,7,22,32,47,68,141
Croatia,2024-01-16,,forecast,41,58.6,61.9,6,21,32,50,73.2,165
Croatia,2024-01-17,,forecast,44,72.9,99.9,6,22,34,55,84,229
Croatia,2024-01-18,,forecast,45,86.4,154.1,6,22,35,61,92.2,275.3
Croatia,2024-01-19,,forecast,47.5,99.2,208.2,6,22,37,65,105,312
Denmark,2024-01-04,,estimate,48,60.3,54.4,7,27,39,56,78,152
Denmark,2024-01-05,,estimate,49,59.1,46.4,9,26.8,40,58,77,144
Denmark,2024-01-06,,estimate,50,61.7,52.9,9,28,40,59,79,156
Denmark,2024-01-07,,estimate,50,61.3,48.4,8.9,29,41,61.4,81,146
Denmark,2024-01-08,,estimate,50,60.6,49.6,8,27,40,60,78,149.1
Denmark,2024-01-09,,estimate,49,60.9,48.6,8.9,27,40,60,81,151
Denmark,2024-01-10,,estimate,49,61.6,49.4,8,29,41,59,80.2,155
Denmark,2024-01-11,,estimate,49,60.1,48,9,27,39.6,59,77,154
Denmark,2024-01-12,,estimate based on partial data,47,58.8,48.5,8,27,38,56,78.2,148
Denmark,2024-01-13,,estimate based on partial data,45,57.8,49.7,8,25,37,54,75,149
Denmark,2024-01-14,,estimate based on partial data,42,58.5,58.5,6,22,33,53,76,152
Denmark,2024-01-15,,forecast,41,61.6,76.5,6,21,32,51,73,182
Denmark,2024-01-16,,forecast,38,63.3,114.4,4,18,29,49,72,199
Denmark,2024-01-17,,forecast,37,68.6,124.4,4,17,28,48,73.2,219.1
Denmark,2024-01-18,,forecast,35,66.7,115.8,3,15,26,46,74.2,230
Denmark,2024-01-19,,forecast,33,83.8,318.4,2,13,23,45,74,279.1
Estonia,2024-01-05,,estimate,6,8.8,9.4,0,3,5,8,12,26
Estonia,2024-01-06,,estimate,6,9.2,9.3,0,3,5,8,13,27
Estonia,2024-01-07,,estimate,6,8.9,9.2,0,3,5,8,12,26
Estonia,2024-01-08,,estimate,6,8.2,8.2,0,3,4,8,11,23
Estonia,2024-01-09,,estimate,6,8.6,8.5,0,3,5,8,11.2,24
Estonia,2024-01-10,,estimate,6,7.9,7.9,0,3,4,7,11,23
Estonia,2024-01-11,,estimate,6,8,8,0,3,4,7,11,23
Estonia,2024-01-12,,estimate based on partial data,6,8.4,9.2,0,2,4,7,11,26
Estonia,2024-01-13,,estimate based on partial data,6,8.3,9.2,0,2,4,7,11,25
Estonia,2024-01-14,,estimate based on partial data,6,8.7,12.6,0,2,4,7,11,26
Estonia,2024-01-15,,forecast,5,9.4,15.9,0,2,4,7,11,29
Estonia,2024-01-16,,forecast,5,10.4,22.1,0,2,3,7,11,36
Estonia,2024-01-17,,forecast,5,11,26.6,0,2,3,7,11,38
Estonia,2024-01-18,,forecast,5,12.5,29.4,0,1,3,7,12,46
Estonia,2024-01-19,,forecast,5,14.7,49.9,0,1,3,7,13,53
Greece,2024-01-04,,estimate,54,56.4,24.3,24,41,48,59,68,99
Greece,2024-01-05,,estimate,53,55.3,24.4,23,40,48,58,66,94
Greece,2024-01-06,,estimate,52,55.6,24.3,24,40,47,57,67,97
Greece,2024-01-07,,estimate,52,54.8,23.5,25,41,47,56,65,92
Greece,2024-01-08,,estimate,53,56.2,24.2,25,41,49,58,67,96
Greece,2024-01-09,,estimate,55,58.1,25.3,25,42,50,59,69,100
Greece,2024-01-10,,estimate,59,62.2,25.8,29,46,53,64,74,105
Greece,2024-01-11,,estimate,62,65.3,27.1,30,48,57,68,77,111
Greece,2024-01-12,,estimate based on partial data,68,72.4,30.1,33,54,63,74,85,125
Greece,2024-01-13,,estimate based on partial data,78,81.6,34.9,34,59,71,85,98,141
Greece,2024-01-14,,estimate based on partial data,87,92.7,41.7,39,66.8,79,95,112,166
Greece,2024-01-15,,forecast,97.5,108,62.8,37.9,71,87,109,131,206
Greece,2024-01-16,,forecast,109,122.9,71.3,39.9,74,95,125,153,253
Greece,2024-01-17,,forecast,118,145.8,116,39.9,80,102,137,179,330.3
Greece,2024-01-18,,forecast,135,175.8,174.8,39,86,114,161,217,423
Greece,2024-01-19,,forecast,147.5,213.6,243.3,42,92,125,183,254,567
Hungary,2024-01-04,,estimate,11,12.8,8.5,3,7,10,13,16,27
Hungary,2024-01-05,,estimate,12,13.3,8,3,8,10,13,17,28
Hungary,2024-01-06,,estimate,13,13.8,8,3.9,8,11,14,18,29
Hungary,2024-01-07,,estimate,13,14.6,8.6,4,9,12,15,19,29
Hungary,2024-01-08,,estimate,14,15.6,8.9,4,10,13,16,19,32
Hungary,2024-01-09,,estimate,15,16,8.9,4,10,13,17,20,32
Hungary,2024-01-10,,estimate,16,17.2,10.6,5,11,14,18,22,34
Hungary,2024-01-11,,estimate based on partial data,16,17.5,10,5,11,14,18,22,35
Hungary,2024-01-12,,estimate based on partial data,16,18.1,10.7,5,11,14,19,23,37
Hungary,2024-01-13,,estimate based on partial data,17,19.5,11.9,5,12,15,20,25,42
Hungary,2024-01-14,,forecast,17,20.5,14.6,5,11,15,20,26,46
Hungary,2024-01-15,,forecast,18,21.5,17.7,5,11,15,20.4,27,49
Hungary,2024-01-16,,forecast,18,23.2,24.4,3,10,15,22,28.2,56
Hungary,2024-01-17,,forecast,18,24.9,31.6,4,10,15,22,29,61
Hungary,2024-01-18,,forecast,19,28.2,42,3,10,15,24,33,75
Hungary,2024-01-19,,forecast,19,29.9,44.9,3,10,15,24,35,87
Ireland,2024-01-04,,estimate,9,11.2,8.6,2,5,8,11,15,27
Ireland,2024-01-05,,estimate,9,10.4,7.6,1,5,7,11,14,24
Ireland,2024-01-06,,estimate,9,10.3,7.6,1,5,7.6,10,14,24
Ireland,2024-01-07,,estimate,9,10.1,7.5,1,5,7,10,14,23
Ireland,2024-01-08,,estimate,8,9.3,6.9,1,5,7,9,13,21
Ireland,2024-01-09,,estimate,8,8.9,6.8,1,4,6,9,12,21
Ireland,2024-01-10,,estimate,7,8.3,6.3,1,4,6,8,11,19
Ireland,2024-01-11,,estimate,7,8,6.5,1,4,6,8,10,19
Ireland,2024-01-12,,estimate based on partial data,6,7.2,5.9,1,3,5,7,10,19
Ireland,2024-01-13,,estimate based on partial data,5,6.9,6.2,1,3,4,7,9,17
Ireland,2024-01-14,,estimate based on partial data,5,6.6,6.6,0,3,4,6,9,18
Ireland,2024-01-15,,forecast,5,6.3,7.1,0,2,4,6,8,17
