region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Belgium,2023-07-14,,estimate,-0.0212075171198662,-0.0162075846029781,0.107342031208725,-0.185800512826876,-0.0876533004708181,-0.0515354248783894,0.0116840450977539,0.0576133429789615,0.166901503347387
Belgium,2023-07-15,,estimate,-0.067457074168391,-0.0651389446719202,0.0868367884466632,-0.209640335176326,-0.120890793727448,-0.0876594540932315,-0.0455990404283794,-0.0100497006527698,0.0824362266296116
Belgium,2023-07-16,,estimate,-0.13189706643378,-0.125875581633605,0.0822176911803173,-0.246208878581381,-0.175018038343049,-0.147350014126354,-0.116119065118106,-0.0866766726038635,0.0169910068386801
Belgium,2023-07-17,,estimate,-0.206627596397547,-0.191381097224794,0.10097459458511,-0.326518572985109,-0.258411915095808,-0.22824507794493,-0.186124226388132,-0.143550205246429,0.00370897320525423
Belgium,2023-07-18,,estimate based on partial data,-0.272296872120079,-0.253660570894092,0.135624047181377,-0.433505038733524,-0.35192408127806,-0.303399589298278,-0.241526730704023,-0.171245649115271,0.00265367622909343
Belgium,2023-07-19,,estimate based on partial data,-0.321103433249674,-0.304821812106428,0.174052309300934,-0.554267791117021,-0.435350877493588,-0.364706040035548,-0.2749957488965,-0.192536111832329,0.000729080578788037
Belgium,2023-07-20,,estimate based on partial data,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-21,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-22,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-23,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-24,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-25,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-26,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-27,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Belgium,2023-07-28,,forecast,-0.353648850611938,-0.338331489460177,0.203847629639669,-0.641832392834104,-0.483474736682125,-0.405537011670746,-0.296776915230783,-0.202545351826563,0.00375520177844119
Czechia,2023-07-14,,estimate,-0.156401546558544,-0.149987954743681,0.112319525027234,-0.318159184811451,-0.236199756810326,-0.188588933603407,-0.122489969467386,-0.0695743675318227,0.0466734317340614
Czechia,2023-07-15,,estimate,-0.180876659909056,-0.177818115251486,0.091680503147391,-0.320953363014759,-0.245664260911259,-0.206970309700123,-0.156676765906966,-0.113791176495983,-0.016788652676014
