region,date,confirm
Czechia,2023-10-18,14
Czechia,2023-10-19,25
Czechia,2023-10-20,30
Czechia,2023-10-21,61
Czechia,2023-10-22,55
Czechia,2023-10-23,91
Czechia,2023-10-24,206
Czechia,2023-10-25,234
Czechia,2023-10-26,317
Czechia,2023-10-27,345
Czechia,2023-10-28,396
Czechia,2023-10-29,384
Estonia,2023-10-19,10
Estonia,2023-10-20,6
Estonia,2023-10-21,5
Estonia,2023-10-22,6
Estonia,2023-10-23,19
Estonia,2023-10-24,17
Estonia,2023-10-25,28
Estonia,2023-10-26,20
Estonia,2023-10-27,26
Estonia,2023-10-28,21
Estonia,2023-10-29,21
Estonia,2023-10-30,42
Greece,2023-10-18,319
Greece,2023-10-19,466
Greece,2023-10-20,559
Greece,2023-10-21,636
Greece,2023-10-22,625
Greece,2023-10-23,618
Greece,2023-10-24,683
Greece,2023-10-25,728
Greece,2023-10-26,863
Greece,2023-10-27,862
Greece,2023-10-28,967
Greece,2023-10-29,1074
Greece,2023-10-30,1057
Hungary,2023-10-28,106
Hungary,2023-10-29,113
Ireland,2023-10-18,243
Ireland,2023-10-19,387
Ireland,2023-10-20,424
Ireland,2023-10-21,423
Ireland,2023-10-22,370
Ireland,2023-10-23,383
Ireland,2023-10-24,385
Ireland,2023-10-25,314
Ireland,2023-10-26,322
Ireland,2023-10-27,354
Ireland,2023-10-28,374
Ireland,2023-10-29,236
Ireland,2023-10-30,167
Italy,2023-10-18,352
Italy,2023-10-19,418
Italy,2023-10-20,633
Italy,2023-10-21,820
Italy,2023-10-22,991
Italy,2023-10-23,1352
Italy,2023-10-24,1572
Italy,2023-10-25,1440
Italy,2023-10-26,1690
Italy,2023-10-27,1892
Latvia,2023-10-18,24
Latvia,2023-10-19,9
Latvia,2023-10-20,14
Latvia,2023-10-21,17
Latvia,2023-10-22,22
Latvia,2023-10-23,37
Latvia,2023-10-24,40
Latvia,2023-10-25,50
Latvia,2023-10-26,56
Latvia,2023-10-27,52
Malta,2023-10-18,51
Malta,2023-10-19,48
Malta,2023-10-20,42
Malta,2023-10-21,53
Malta,2023-10-22,45
Malta,2023-10-23,32
Malta,2023-10-24,23
Malta,2023-10-25,20
Malta,2023-10-26,33
Malta,2023-10-27,26
Malta,2023-10-28,21
Malta,2023-10-29,20
Netherlands,2023-10-18,132
Netherlands,2023-10-19,147
Netherlands,2023-10-20,156
Netherlands,2023-10-21,179
Netherlands,2023-10-22,207
Netherlands,2023-10-23,263
Netherlands,2023-10-24,323
Netherlands,2023-10-25,349
Netherlands,2023-10-26,360
Netherlands,2023-10-27,385
Netherlands,2023-10-28,435
Netherlands,2023-10-29,478
Netherlands,2023-10-30,635
Slovakia,2023-10-18,6
Slovakia,2023-10-19,5
Slovakia,2023-10-20,8
Slovakia,2023-10-21,12
Slovakia,2023-10-22,24
Slovakia,2023-10-23,23
Slovakia,2023-10-24,42
Slovakia,2023-10-25,44
Slovakia,2023-10-26,83
Slovakia,2023-10-27,131
Slovakia,2023-10-28,104
Slovakia,2023-10-29,124
Slovakia,2023-10-30,133
