region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Czechia,2023-11-23,,estimate,9912.4,10792.3,4304.6,5272.6,7566.5,8992.1,10999.9,13005.8,19838.6
Czechia,2023-11-24,,estimate,11379.4,12421,5058.1,6035.9,8661.6,10287.1,12662.4,14774.5,22612.3
Czechia,2023-11-25,,estimate,13014,14377.5,6031.8,7024.8,9881.4,11754.8,14363.1,17013.8,27097.2
Czechia,2023-11-26,,estimate,14773.5,16695.8,7229.9,8142.8,11363.9,13335,16536.9,19885.2,32191.2
Czechia,2023-11-27,,estimate,16989.3,19390,8651.5,9231.6,13133.7,15211.7,18955.8,23194.2,38271.8
Czechia,2023-11-28,,estimate,19391.8,22441.7,10272.9,10485.1,15134.3,17322.1,21874.8,27263.5,44852.6
Czechia,2023-11-29,,estimate,22372.2,25793.4,12029.8,11797.1,17258.2,19877.5,25214,31544.4,52223.5
Czechia,2023-11-30,,estimate,25582.4,29361.7,13828.6,12934.9,19419.7,22813.8,28858.1,35778.2,58990
Czechia,2023-12-01,,estimate based on partial data,29033,33077.3,15621.2,14264.4,21677.5,25924.8,32865,40741.3,66244.3
Czechia,2023-12-02,,estimate based on partial data,33091.2,36942.3,17524,15680.3,23740.1,29276,37077.2,45626.6,73464.5
Czechia,2023-12-03,,estimate based on partial data,37124.1,41071.5,19876.9,16886.4,25588,32351.2,41925.3,50949,81066
Czechia,2023-12-04,,forecast,40725.7,45537.5,22826.4,18136.2,27853.2,35532.2,46738,57019.8,91039.5
Czechia,2023-12-05,,forecast,45000.9,50437.3,26574.4,18766.9,30096.9,38343.8,51913,63581.6,102477.1
Czechia,2023-12-06,,forecast,48947.6,55755.7,31229.8,19385.5,31871.9,41438.5,56954.4,70961.7,117847.3
Czechia,2023-12-07,,forecast,52651,61445.9,36865.8,19724.3,34134.8,44122.9,61623.3,78888.4,135494.8
Czechia,2023-12-08,,forecast,56467.3,67415.1,43464.9,19656.5,35826.2,47178.1,66505.3,87635.2,153278
Estonia,2023-11-23,,estimate,518.7,564.1,216.9,299.4,411,472.9,571.9,667.5,983.7
Estonia,2023-11-24,,estimate,531.9,577.9,228.4,303.4,416.7,482.2,580.8,688.9,1024.6
Estonia,2023-11-25,,estimate,550.3,599.9,250.2,305.3,423.6,494.8,603.6,713.3,1074.4
Estonia,2023-11-26,,estimate,572,632,285.6,308.1,435.6,516.5,631.3,753.9,1162.1
Estonia,2023-11-27,,estimate based on partial data,600,677.6,344.7,312.6,453.2,535.6,670.1,812.4,1273
Estonia,2023-11-28,,estimate based on partial data,639.9,742.3,456.1,301.8,465,565.1,721.1,889.3,1487.5
Estonia,2023-11-29,,estimate based on partial data,685.1,835.3,703.1,283.4,474.2,599.9,788,993.7,1793.3
Estonia,2023-11-30,,forecast,732.3,962.4,1241.9,259.3,477.4,626.8,862.7,1119.2,2196.6
Estonia,2023-12-01,,forecast,788.3,1141.7,2378.7,230.6,484.7,666.4,940.7,1269.8,2757.7
Estonia,2023-12-02,,forecast,838.1,1395.6,4478.3,205.1,485.2,694.2,1032.1,1433.9,3564.9
