region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Czechia,2023-11-23,,estimate,229,241.8,72.8,153,196,216,244,271,368.1
Czechia,2023-11-24,,estimate,264.5,274,78.3,174,225,248,280,308,410.1
Czechia,2023-11-25,,estimate,303,311.5,82,197.9,262,286,320,350,453.1
Czechia,2023-11-26,,estimate,354,362.5,91.5,239,308,335,372,404,520
Czechia,2023-11-27,,estimate,415,422.6,104.6,272,359,394,437,476,599
Czechia,2023-11-28,,estimate,482,487.7,119.6,313,415,458,506,552,683.1
Czechia,2023-11-29,,estimate,558.5,567.6,146.5,354,478,528,585,644,814.1
Czechia,2023-11-30,,estimate,649,652,154.3,409,560,618,683.4,735,895
Czechia,2023-12-01,,estimate based on partial data,726.5,739.9,184.5,466,632.8,692,767,835.2,1036.1
Czechia,2023-12-02,,estimate based on partial data,803,821.9,214.6,520,694,760,848,922.2,1167.2
Czechia,2023-12-03,,estimate based on partial data,888.5,918.4,262.1,561,748.8,836,941.4,1050,1381.1
Czechia,2023-12-04,,forecast,963,1010.3,338.8,579,796,899,1037,1175,1577.1
Czechia,2023-12-05,,forecast,1052.5,1126.2,472.4,526.9,833.8,972,1149,1335.2,1933
Czechia,2023-12-06,,forecast,1181.5,1243.3,547.1,522,871.8,1056,1293.4,1513,2157.2
Czechia,2023-12-07,,forecast,1249,1361,696.2,488.9,896,1108,1405.8,1685.2,2548
Czechia,2023-12-08,,forecast,1377.5,1499.2,852.1,460,927.8,1210.2,1564,1870.2,2885.2
Estonia,2023-11-23,,estimate,21,24.4,17.2,5,13,18,25,31,58
Estonia,2023-11-24,,estimate,21,24.4,17.3,4,13,18,25,31,56
Estonia,2023-11-25,,estimate,22,25.8,19.5,5,14,19,25,32,59
Estonia,2023-11-26,,estimate,23,26.6,18.8,5,15,20,27,33,57
Estonia,2023-11-27,,estimate based on partial data,24,27.2,18.6,5,15,20,27.4,35,62
Estonia,2023-11-28,,estimate based on partial data,26,29.4,22,5,16,22,29,37,67
Estonia,2023-11-29,,estimate based on partial data,27,32.3,26.5,5.9,17,23,32,40.2,73
Estonia,2023-11-30,,forecast,29,36.4,35.1,6,18,24,34,45,90
Estonia,2023-12-01,,forecast,29.5,40,42.4,6,18,25,36,49,101
Estonia,2023-12-02,,forecast,33,46.2,61.6,5,18,26,40,56,127
Estonia,2023-12-03,,forecast,34,55.4,110.6,5,18,27,43,63,165
Estonia,2023-12-04,,forecast,37,63.4,144.3,5,18,29,47,68.2,181
Estonia,2023-12-05,,forecast,38.5,80.1,320.3,4,17,29,49,76,235.1
Estonia,2023-12-06,,forecast,40,96,296,4,18.8,30,55,89,298.3
Estonia,2023-12-07,,forecast,41,97.5,206.5,3,17,31,55,95,371.2
Estonia,2023-12-08,,forecast,44,124.5,297.2,3,18,32,61,107,474.3
Greece,2023-11-23,,estimate,717.5,765,331.2,424,626,684,755,831,1223.2
Greece,2023-11-24,,estimate,761.5,812.5,381.6,436,666,725.6,800,879,1292
Greece,2023-11-25,,estimate,818,841.4,299.3,445.9,710,778.6,855,932,1275.2
Greece,2023-11-26,,estimate,875,891.4,317.9,474.9,754.8,828.6,913.4,984.2,1359
Greece,2023-11-27,,estimate based on partial data,938,957.6,330.5,527.9,800.8,889.6,978,1058,1432.2
Greece,2023-11-28,,estimate based on partial data,1007.5,1038.6,391,545.9,873,956,1055,1148,1601.1
Greece,2023-11-29,,estimate based on partial data,1089,1114.5,418,541.9,922,1033,1139,1252,1714.1
Greece,2023-11-30,,forecast,1158,1195.6,509,523.8,968,1082.6,1220,1345.2,1937.1
Greece,2023-12-01,,forecast,1244,1328.4,772.8,510.9,1008,1155,1320,1482,2315.5
Greece,2023-12-02,,forecast,1312.5,1428.8,819.5,512.8,1041,1215,1420,1621.2,2566
Greece,2023-12-03,,forecast,1382,1532.5,1073.8,457,1054.8,1260.6,1504.8,1751.2,2904.6
Greece,2023-12-04,,forecast,1465,1668.1,1175.8,450.8,1076.8,1322.6,1616.4,1906,3451.2
Greece,2023-12-05,,forecast,1542,1830.8,2032.1,425,1100.8,1376.6,1706,2091.8,4006.2
Greece,2023-12-06,,forecast,1627.5,1989.7,1805.7,434.9,1146,1438,1820.4,2208,4603.9
Greece,2023-12-07,,forecast,1701,2179.1,2660.7,333.8,1141.8,1473,1913,2388.2,5155.2
Greece,2023-12-08,,forecast,1761,2307.6,2611.3,357.9,1141.8,1529,2009,2540.2,6157.1
Ireland,2023-11-23,,estimate,337,364.4,206.6,104,242,298,374,445,708
Ireland,2023-11-24,,estimate,327,350.3,187.9,102,232,294,361,433,676
Ireland,2023-11-25,,estimate,317,338.3,182.3,104,227,285,352,410,640.1
Ireland,2023-11-26,,estimate,293.5,317.5,199.8,105.9,215,264,324,380,593
Ireland,2023-11-27,,estimate based on partial data,270,295.9,161.8,102.9,200.8,244,300.4,350,584.1
Ireland,2023-11-28,,estimate based on partial data,242,275,166.7,87.9,182,217,269.4,327,561.1
Ireland,2023-11-29,,estimate based on partial data,218,255.9,179.8,77.9,159,192.6,244,298,563
Ireland,2023-11-30,,forecast,192.5,239.9,193.6,61,134,170,222.4,285.2,559.4
Ireland,2023-12-01,,forecast,172,226.1,212,53.9,112,146.6,198,264,569
Ireland,2023-12-02,,forecast,151,211.4,236.1,42,93,126,178,248,573
Ireland,2023-12-03,,forecast,131.5,208.4,268.3,31,77,108,164,235,623
Ireland,2023-12-04,,forecast,117,209.9,334.7,23,62,95,150,223.2,655
Ireland,2023-12-05,,forecast,111,204.2,339.6,16,56,84,146,215.2,669.4
Ireland,2023-12-06,,forecast,100.5,218.6,550.2,13,46,75,132.4,205,730.1
Ireland,2023-12-07,,forecast,90,212.5,555.1,9,39,63,122,200.2,735.1
Ireland,2023-12-08,,forecast,81,245.8,1061.5,6,31,57,113,191,824.2
